Element,Line,Type,Energy
Mn,La1,Sum Peak (2x),1.2734
Mn,La2,Sum Peak (2x),1.2734
Ag,La2,Escape Peak (Si),1.277
As,La1,Emission Line,1.2819
As,La2,Emission Line,1.2819
Ag,La1,Escape Peak (Si),1.2827
Pd,Lb1,Escape Peak (Si),1.2895
Ge,Lb4,Emission Line,1.2897
Ge,Lb3,Emission Line,1.2938
Mn,Lb1,Sum Peak (2x),1.2958
Mg,Kb1,Emission Line,1.302
Mg,Kb3,Emission Line,1.302
F,Ka3,Sum Peak (2x),1.3034
Cr,Lb3,Sum Peak (2x),1.3076
Cr,Lb4,Sum Peak (2x),1.3076
As,Lb1,Emission Line,1.3174
Pd,Lb4,Escape Peak (Si),1.3441
F,Ka1,Sum Peak (2x),1.3536
F,Ka2,Sum Peak (2x),1.3536
Pd,Lb3,Escape Peak (Si),1.3717
Se,La2,Emission Line,1.3784
Se,La1,Emission Line,1.3793
As,Lb4,Emission Line,1.3808
As,Lb3,Emission Line,1.3858
Fe,La1,Sum Peak (2x),1.4096
Fe,La2,Sum Peak (2x),1.4096
Se,Lb1,Emission Line,1.4188
Cd,La2,Escape Peak (Si),1.4261
Cd,La1,Escape Peak (Si),1.4328
Fe,Lb1,Sum Peak (2x),1.4358
Al,Ka3,Emission Line,1.4412
Mn,Lb4,Sum Peak (2x),1.4438
Mn,Lb3,Sum Peak (2x),1.4438
Ag,Lb1,Escape Peak (Si),1.45
Br,La2,Emission Line,1.48
Br,La1,Emission Line,1.481
Se,Lb4,Emission Line,1.4855
Al,Ka2,Emission Line,1.4861
Al,Ka1,Emission Line,1.4865
Ar,Kb3,Escape Peak (Si),1.49
Ar,Kb1,Escape Peak (Si),1.4902
Se,Lb3,Emission Line,1.4913
Ag,Lb4,Escape Peak (Si),1.5022
Br,Lb1,Emission Line,1.526
K,Ka3,Escape Peak (Si),1.5298
Ag,Lb3,Escape Peak (Si),1.533
Co,La1,Sum Peak (2x),1.5502
Co,La2,Sum Peak (2x),1.5502
Al,Kb1,Emission Line,1.557
Al,Kb3,Emission Line,1.557
In,La2,Escape Peak (Si),1.5786
Co,Lb1,Sum Peak (2x),1.5804
Kr,La2,Emission Line,1.5834
Fe,Lb4,Sum Peak (2x),1.5838
Fe,Lb3,Sum Peak (2x),1.5838
Kr,La1,Emission Line,1.5846
In,La1,Escape Peak (Si),1.5861
Br,Lb4,Emission Line,1.593
Br,Lb3,Emission Line,1.6
K,Ka2,Escape Peak (Si),1.6111
K,Ka1,Escape Peak (Si),1.6138
Cd,Lb1,Escape Peak (Si),1.6151
Kr,Lb1,Emission Line,1.6359
Ne,Ka3,Sum Peak (2x),1.6434
Cd,Lb4,Escape Peak (Si),1.6654
Si,Ka3,Emission Line,1.6893
Rb,La2,Emission Line,1.691
Rb,La1,Emission Line,1.692
Ne,Ka2,Sum Peak (2x),1.697
Ne,Ka1,Sum Peak (2x),1.6972
Ni,La2,Sum Peak (2x),1.6974
Ni,La1,Sum Peak (2x),1.6974
Kr,Lb4,Emission Line,1.6988
Cd,Lb3,Escape Peak (Si),1.6996
Kr,Lb3,Emission Line,1.7066
Co,Lb3,Sum Peak (2x),1.7304
Ni,Lb1,Sum Peak (2x),1.732
Co,Lb4,Sum Peak (2x),1.7324
Sn,La2,Escape Peak (Si),1.7358
Si,Ka2,Emission Line,1.7392
Si,Ka1,Emission Line,1.7398
Sn,La1,Escape Peak (Si),1.7441
Rb,Lb1,Emission Line,1.751
In,Lb1,Escape Peak (Si),1.7866
Sr,La2,Emission Line,1.804
Sr,La1,Emission Line,1.8058
Rb,Lb4,Emission Line,1.8163
Rb,Lb3,Emission Line,1.8259
In,Lb4,Escape Peak (Si),1.8348
Si,Kb1,Emission Line,1.837
Si,Kb3,Emission Line,1.837
Cu,La1,Sum Peak (2x),1.8554
Cu,La2,Sum Peak (2x),1.8554
Sr,Lb1,Emission Line,1.871
In,Lb3,Escape Peak (Si),1.8727
Ni,Lb4,Sum Peak (2x),1.8812
Ni,Lb3,Sum Peak (2x),1.8848
K,Kb3,Escape Peak (Si),1.8901
K,Kb1,Escape Peak (Si),1.8901
Sb,La2,Escape Peak (Si),1.8945
Cu,Lb1,Sum Peak (2x),1.8946
Ca,Ka3,Escape Peak (Si),1.9001
